Location,Title,Company,Url
AI/ML Developer,El Salvador,Novapulse AI,https://sv.linkedin.com/jobs/view/ai-ml-developer-at-novapulse-ai-4013339157?position=1&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Xq%2FbGXL3LOHmIugU965%2FYA%3D%3D
Data Scientist - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/data-scientist-llm-at-yo-hr-consultancy-4042555430?position=2&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=vCizg7WSJ7cBhu8pO5528w%3D%3D
Sr Data Scientist - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/sr-data-scientist-llm-at-yo-hr-consultancy-4042556416?position=3&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=KE69sWH6I9eARpUq0%2F6tNA%3D%3D
Python Engineer - Temporary - Shopkick,El Salvador,Alia Services,https://sv.linkedin.com/jobs/view/python-engineer-temporary-shopkick-at-alia-services-4042396614?position=4&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Heasgw4rsnCF7irHIw7n4g%3D%3D
Python Developer,"Nueva San Salvador, La Libertad, El Salvador",Applaudo,https://sv.linkedin.com/jobs/view/python-developer-at-applaudo-4038588188?position=5&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=K17HVkXworzrNe99dOVpqQ%3D%3D
Python Developer - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/python-developer-llm-at-yo-hr-consultancy-4042556329?position=6&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=wCxyPlzy1FkoFgrOR7yNcg%3D%3D
Python Developer,El Salvador,Launchpad Technologies Inc.,https://sv.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-4038419788?position=7&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=%2F6DY7URtwvVT6xTBYPtkEw%3D%3D
Python Full Stack Developer,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/python-full-stack-developer-at-yo-hr-consultancy-4042553653?position=8&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=ByU8DVyxkQzaS9woUQpmfw%3D%3D
Desarrollador Python,"San Salvador, San Salvador, El Salvador",Sistemas Pliret,https://sv.linkedin.com/jobs/view/desarrollador-python-4038550976?position=9&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=vbwGUZZK1wcdUv7Sfua%2FHA%3D%3D&trk=public_jobs_jserp-result_search-card
Python JavaScript Developer,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/python-javascript-developer-at-yo-hr-consultancy-4042557252?position=10&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=ehzdh5FCRRwbASjZvRoECA%3D%3D
AI Engineer - Mid Level,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/ai-engineer-mid-level-at-lumenalta-formerly-clevertech-4048228316?position=11&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=tJpz4CtH8wwgEQ7lWamadg%3D%3D
Joven Profesional  - Desarrollo Digital,"San Salvador, El Salvador",Holcim El Salvador,https://sv.linkedin.com/jobs/view/joven-profesional-desarrollo-digital-at-holcim-el-salvador-4029637738?position=12&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=T42hIeL11QxvLYFWjdnvaA%3D%3D
AI Engineer - Senior,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/ai-engineer-senior-at-lumenalta-formerly-clevertech-4048240894?position=13&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=isxsrZg%2BmWIok33Auay8FA%3D%3D
Senior Data Scientist,"Antiguo Cuscatlán, La Libertad, El Salvador",TELUS Digital,https://sv.linkedin.com/jobs/view/senior-data-scientist-at-telus-digital-3950294855?position=14&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=613WDuRB%2Fyrxcsf2JTdUFg%3D%3D
AI Engineer - Tech Lead,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/ai-engineer-tech-lead-at-lumenalta-formerly-clevertech-4048251220?position=15&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=SkVTgdbXoB9Y0to9h3hR%2BA%3D%3D
Software Engineer,"San Salvador, San Salvador, El Salvador",MOOVIIT,https://sv.linkedin.com/jobs/view/software-engineer-at-mooviit-4046023589?position=16&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=qNItRA4vPlYP0OZcm4qgdw%3D%3D
Python Developer - Tech Lead,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/python-developer-tech-lead-at-lumenalta-formerly-clevertech-4050992242?position=17&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=jfmErG9tj9X1pKiHg2VVMQ%3D%3D
DevOps (6000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/devops-6000-usd-mes-remote-at-listopro-a-revelo-company-4049197519?position=18&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=s6udPtT9vXPEWJXIg%2Bq8Mw%3D%3D
Sr Python Developer - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/sr-python-developer-llm-at-yo-hr-consultancy-4042553717?position=19&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=AVdnSI4J4WS5uE7mwu%2FTNQ%3D%3D
Full-Stack Engineer (5000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/full-stack-engineer-5000-usd-mes-remote-at-listopro-a-revelo-company-4049500261?position=20&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=u20ykhaKwEow%2F3y8%2BThnRA%3D%3D
Ingeniero en Virtualización WMWare,El Salvador,GBM,https://sv.linkedin.com/jobs/view/ingeniero-en-virtualizaci%C3%B3n-wmware-at-gbm-4039674034?position=21&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=MisMoPoEDgsV6c0gwz19Jg%3D%3D
Analista de Datos Jr.,"La Libertad, El Salvador",Grupo CASSA (Compañía Azucarera Salvadoreña),https://sv.linkedin.com/jobs/view/analista-de-datos-jr-at-grupo-cassa-compa%C3%B1%C3%ADa-azucarera-salvadore%C3%B1a-4048275941?position=22&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=p4r0vrFbMh%2F0kkUQ7lVmMA%3D%3D
"Senior Software Engineer (Python, Flask, React) Contract- 6 months",El Salvador,Cutting Edge Search,https://sv.linkedin.com/jobs/view/senior-software-engineer-python-flask-react-contract-6-months-at-cutting-edge-search-4012153313?position=23&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=AUBiLHbq6CPG0cKjyzR4Ow%3D%3D
QA Engineer (3466 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/qa-engineer-3466-usd-mes-remote-at-listopro-a-revelo-company-4049500242?position=24&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=4suhNlsnwZRboP7DwANJiA%3D%3D
Front End Developer,"San Salvador, San Salvador, El Salvador",TOP Worldwide,https://sv.linkedin.com/jobs/view/front-end-developer-at-top-worldwide-4035830209?position=25&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=h5123%2B52yYGlSwGdPwwbpQ%3D%3D
Mobile Engineer (4800 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/mobile-engineer-4800-usd-mes-remote-at-listopro-a-revelo-company-4049199419?position=26&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=46SY52pJD42otFrUIEf68w%3D%3D
Mobile Engineer (4000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/mobile-engineer-4000-usd-mes-remote-at-listopro-a-revelo-company-4049196872?position=27&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=mFw7yM2N%2F7roCoL4MXgaLw%3D%3D
Programador Java Script,"San Marcos, San Salvador, El Salvador",Anonimo,https://sv.linkedin.com/jobs/view/programador-java-script-4037030848?position=28&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=dE5Th9Ee05BxKY9zUE%2FKNw%3D%3D&trk=public_jobs_jserp-result_search-card
AI / Backend Expert,El Salvador,Launchpad Technologies Inc.,https://sv.linkedin.com/jobs/view/ai-backend-expert-at-launchpad-technologies-inc-4038422459?position=29&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=gZMKlExBBgvGIP9mthUljw%3D%3D
Full Stack Engineer,"San Salvador, San Salvador, El Salvador",MIO3 | Real Asset Tokenization,https://sv.linkedin.com/jobs/view/full-stack-engineer-at-mio3-real-asset-tokenization-4038922327?position=30&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=7nEcfmxJEmAtcsAmthGMVw%3D%3D
Python Developer - Senior,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/python-developer-senior-at-lumenalta-formerly-clevertech-4050984916?position=31&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=sGbuDLUx6jT16RstBDEquA%3D%3D
Desarrollador medio,"San Salvador, San Salvador, El Salvador",Datalogic El Salvador,https://sv.linkedin.com/jobs/view/desarrollador-medio-4049384115?position=32&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=iLFizfoYkhDWNoLGYmJubw%3D%3D&trk=public_jobs_jserp-result_search-card
Desarrollador de software de prueba,"San Salvador, El Salvador",TELUS Digital,https://sv.linkedin.com/jobs/view/desarrollador-de-software-de-prueba-at-telus-digital-4046246592?position=33&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=FNq7MJ3irqoL7WoR7dZe%2FQ%3D%3D
DevOps (4666 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/devops-4666-usd-mes-remote-at-listopro-a-revelo-company-4049501127?position=34&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=GfHIPLWOJ2QdfAlSdvQohQ%3D%3D
Backend Engineer (3333 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/backend-engineer-3333-usd-mes-remote-at-listopro-a-revelo-company-4049500229?position=35&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=5i3vwpPGhXX%2BL1DA8INndw%3D%3D
Creative Developer (Front End Developer),"Antiguo Cuscatlán, La Libertad, El Salvador",EMAYA,https://sv.linkedin.com/jobs/view/creative-developer-front-end-developer-at-emaya-4044722951?position=36&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=STXGwoCNWVQ7LurTJwux2g%3D%3D
Full-Stack Engineer (4333 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/full-stack-engineer-4333-usd-mes-remote-at-listopro-a-revelo-company-4049501107?position=37&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=idltEDP5%2FHictEBlvk2RKg%3D%3D
Junior DevOps Engineer,"San Salvador, San Salvador, El Salvador",Applaudo,https://sv.linkedin.com/jobs/view/junior-devops-engineer-at-applaudo-4041469544?position=38&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=JghMDa8keB9efZ4bkT4pvg%3D%3D
Mobile Engineer (5133 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/mobile-engineer-5133-usd-mes-remote-at-listopro-a-revelo-company-4049197542?position=39&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=GPbEJAvV%2FLL5JC5I5XUHsQ%3D%3D
Cloud Engineer,"San Salvador, El Salvador",TELUS Digital,https://sv.linkedin.com/jobs/view/cloud-engineer-at-telus-digital-4039240714?position=40&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=mqN5GIBEUCvNGT1s58ssjA%3D%3D
Software Engineer,"San Salvador, San Salvador, El Salvador",Vínculos Estratégicos,https://sv.linkedin.com/jobs/view/software-engineer-at-v%C3%ADnculos-estrat%C3%A9gicos-3915729911?position=41&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=ErlTOgRaLAG7TsVh9xABEw%3D%3D
QA Engineer (5600 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/qa-engineer-5600-usd-mes-remote-at-listopro-a-revelo-company-4049199426?position=42&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=1DqYzKPURhrA44y73C1m%2Fg%3D%3D
Site Reliability Engineer M/d01,"Antiguo Cuscatlán, La Libertad, El Salvador","epay, a Euronet Company",https://sv.linkedin.com/jobs/view/site-reliability-engineer-m-d01-at-epay-a-euronet-company-3964658436?position=43&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Rmw2lZq1Bj9tTHKGuybqRw%3D%3D
Data Engineer (3333 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/data-engineer-3333-usd-mes-remote-at-listopro-a-revelo-company-4049195900?position=44&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=1ztM9qddfbliHwCuKVR5dQ%3D%3D
Full-Stack Engineer (5600 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/full-stack-engineer-5600-usd-mes-remote-at-listopro-a-revelo-company-4049197578?position=45&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Cd4iQEB6IBvZBfKIocAnBA%3D%3D
Programador medio,"Comunidad El Éxito, San Salvador, El Salvador",Datalogic El Salvador,https://sv.linkedin.com/jobs/view/programador-medio-4048489060?position=46&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=aDiETg2PUDkmt6y0XAXOKA%3D%3D&trk=public_jobs_jserp-result_search-card
Ingeniero de software,El Salvador,Vínculos Estratégicos,https://sv.linkedin.com/jobs/view/ingeniero-de-software-at-v%C3%ADnculos-estrat%C3%A9gicos-4048855054?position=47&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=XlwBC3Kg0tgq3BRaLN3y%2Bw%3D%3D
"Senior Fullstack Engineer (AWS, Python, React) Contract- 6 months",El Salvador,Cutting Edge Search,https://sv.linkedin.com/jobs/view/senior-fullstack-engineer-aws-python-react-contract-6-months-at-cutting-edge-search-4012151622?position=48&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=nZDRs%2F%2BlU7U%2FkQWEEJPu8A%3D%3D
Data Engineer (12000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/data-engineer-12000-usd-mes-remote-at-listopro-a-revelo-company-4049503047?position=49&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=GpeD%2FOk31ZGIeDbO7V24lw%3D%3D
Ingeniero de Analítica,"La Libertad, La Libertad, El Salvador",Sistemas Pliret,https://sv.linkedin.com/jobs/view/ingeniero-de-anal%C3%ADtica-4034624815?position=50&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=prAPQMxQj%2BUo%2FyEPuVfUXg%3D%3D&trk=public_jobs_jserp-result_search-card
Full-Stack Engineer (4066 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/full-stack-engineer-4066-usd-mes-remote-at-listopro-a-revelo-company-4049500366?position=51&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=IzzjeHhlVMcFXbrUhs0rHg%3D%3D
QA Engineer (7000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/qa-engineer-7000-usd-mes-remote-at-listopro-a-revelo-company-4049501124?position=52&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=U61iaEFdJJbxMUS89YAX8Q%3D%3D
Data Engineer (3000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/data-engineer-3000-usd-mes-remote-at-listopro-a-revelo-company-4049501112?position=53&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=XkyQo7xC7Plqv8NVHph4uA%3D%3D
DevSecOps Engineer,"San Salvador, El Salvador",Stefanini Group,https://sv.linkedin.com/jobs/view/devsecops-engineer-at-stefanini-group-4048462063?position=54&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=YNGyMxAK6Ea2CO%2BD8QrUFQ%3D%3D
Full-Stack Engineer (3800 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/full-stack-engineer-3800-usd-mes-remote-at-listopro-a-revelo-company-4049197590?position=55&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Ght%2ByQIZTgdTAn4pfgwe1w%3D%3D
QA Engineer (2733 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/qa-engineer-2733-usd-mes-remote-at-listopro-a-revelo-company-4049199410?position=56&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=hhNc2DnjL23TJHG9TgxJpw%3D%3D
Site Reliability Engineer W/A01,"Antiguo Cuscatlán, La Libertad, El Salvador","epay, a Euronet Company",https://sv.linkedin.com/jobs/view/site-reliability-engineer-w-a01-at-epay-a-euronet-company-3989239353?position=57&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Xij7sv1uUiqR1lRH%2Bzz4ww%3D%3D
Developer,"Olocuilta, La Paz, El Salvador",Cygnus Investments S.A. De C.V.,https://sv.linkedin.com/jobs/view/developer-4038555197?position=58&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=YUzdCNCnOIgF6x1fNp65OA%3D%3D&trk=public_jobs_jserp-result_search-card
Ingeniero en Monitoreo IBM/ OpenSource,El Salvador,GBM,https://sv.linkedin.com/jobs/view/ingeniero-en-monitoreo-ibm-opensource-at-gbm-4039671311?position=59&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=yPTwa8Dp8jMVjYLEOej4JQ%3D%3D
Software Engineer,"San Salvador, El Salvador",CBI International,https://sv.linkedin.com/jobs/view/software-engineer-at-cbi-international-4044778997?position=60&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=CXN7KdwBVfQiW0CrsQLBUQ%3D%3D
